HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000014	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000015	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
HMDB0000017	NA
